# ===== INTERCEPTOR V3 — MATRICES CONSOLIDÉES =====
# Fichier: V3_matrices.csv — 3 onglets logiques séparés par ========
# Utilisation: importer dans Excel/Calc ou traiter comme CSV multi-section

# ===== SECTION A : PIÈCE → SOUS-SYSTÈME → EMPLACEMENT =====
Part_ID,Part_Name,Subassembly,Sub_System,Emplacement,Origin,Critical
TAIL-002,TAIL-003,bonded,Cross-brace attachment right,oui
TAIL-001,TAIL-004,bolted,Boom to hinge bracket attachment,oui
TAIL-004,XTAL-001,pivot,X-tail UR surface hinge — ±30° range,oui
TAIL-004,XTAL-002,pivot,X-tail UL surface hinge — ±30° range,oui
TAIL-004,XTAL-003,pivot,X-tail LR surface hinge — ±30° range,oui
TAIL-004,XTAL-004,pivot,X-tail LL surface hinge — ±30° range,oui
# --- Interfaces existantes conservées de V2 ---
FUS-001,FUS-003,bolted,Root spar adapter bolted M5 to fuselage hull,non
FUS-001,FUS-007,bolted,Front lift pylon mounts bolted M4 to FUS-001,non
FUS-001,FUS-008,bolted,Rear lift pylon mounts bolted M4 to FUS-001,non
FUS-003,WNG-001,bolted,Left wing panel root bolted M3 to FUS-003,non
FUS-003,WNG-002,bolted,Right wing panel root bolted M3 to FUS-003,non
PROP-020,PROP-007,electrical,12S/60A feed to front lift ESCs x2,non
PROP-020,PROP-008,electrical,12S/60A feed to rear lift ESCs x2,non
PROP-020,PROP-018,electrical,12S/80A feed to tilt L ESC,non
PROP-020,PROP-019,electrical,12S/80A feed to tilt R ESC,non
PROP-011,FUS-008,bolted,Left nacelle flange bolted M4 to rear pylon mount,non
PROP-012,FUS-008,bolted,Right nacelle flange bolted M4 to rear pylon mount,non
PROP-020,PROP-021,electrical,Anderson PP45 battery connector,non
PROP-020,AVN-001,electrical,5V/12V power rails to flight controller,non
